Structure [idcode]	dwInChI	dwInChI-Key	
eodTJD@ECKHlae`H`RPrJJJJJISUISYZZIYaSSpqpzz@B`JRijffhI@@@	InChI=1S/C22H18ClFN2O5/c1-3-16(28)31-20-18-19(23)17-12(24)7-11(8-13(17)25-21(18)26-22(20)29)4-5-14(27)15-6-10(2)9-30-15/h6-9,29H,3-5H2,1-2H3,(H,25,26)	SWRMUNHRPWFXAX-UHFFFAOYSA-N	
ffcQ`@L\@afQQIQFJIQSJFs`esUjf`HB``bAh@	InChI=1S/C17H18N2O3/c1-10-5-6-11-3-2-4-12-7-8-13(14(10)15(11)12)9-19-17(21)22-16(18)20/h2-4,7-8,10H,5-6,9H2,1H3,(H2,18,20)(H,19,21)/t10-/m1/s1	LMAPIRYCKDCRIY-SNVBAGLBSA-N	
fkaR@DdtoYpRBSLvjnsjkKsAJMzLD@A@DUSULABjaV@	InChI=1S/C22H22FNO5/c1-12(11-25)4-13-5-14-7-17-18(22(23)20(27)9-19(17)26)8-16(14)15(6-13)10-24-3-2-21(28)29/h2-3,5-9,12,24-27H,4,10-11H2,1H3,(H,28,29)/t12-/m1/s1	SQNMESXKCGSPFC-GFCCVEGCSA-N	
fkoaI@LPPJPXyKt@QPHrRPjJQQFJIJHiIjrVkVhEh@XhJb`@@	InChI=1S/C17H19NO9S2/c1-4-10-5-6-15(14(7-10)27-3)28(22,23)18-29(24,25)16-9-13(26-2)12(19)8-11(16)17(20)21/h5-9,18-19H,4H2,1-3H3,(H,20,21)	HCLLWBUCWFHPSD-UHFFFAOYSA-N	
fakQ`@LA@XjTvjmszk[QdmN}Tt@DAUUPDLh@	InChI=1S/C19H24N2O3/c1-3-4-14(22)7-8-20-13-9-12-5-6-16-15(11-18(21-16)24-2)19(12)17(23)10-13/h5-6,9-11,14,20-23H,3-4,7-8H2,1-2H3/t14-/m1/s1	FIPYHBLJKVLJAZ-CQSZACIVSA-N	
fcw@p@@HtUo\bfbbTTVaRRfbjPiF\tAAUUUTuTNNQRb`@	InChI=1S/C22H30O6/c1-4-6-9-28-13(3)16-12-19(23)21-17(15(16)5-2)10-14(7-8-20(24)25)11-18(21)22(26)27/h10-13,15,19,23H,4-9H2,1-3H3,(H,24,25)(H,26,27)/t13-,15+,19+/m1/s1	BYLGZBVQBXUFNV-WTANOLMUSA-N	
edZPF@@@DNIOAlbbTTTTttRRrfabNtf`RWQTqusTCPPQPUPuUQBaENh@@	InChI=1S/C28H30O6/c1-14-9-12-20(28(3,4)5)18-10-11-19-22(21(14)18)15(2)24(30)25(31)23(19)27(33)34-26(32)16-7-6-8-17(29)13-16/h6-9,12-13,18,21,29-31H,10-11H2,1-5H3/t18-,21+/m1/s1	BFLQPUZAOPBQHM-NQIIRXRSSA-N	
fko`R@BF\wXHcHhhhdYhihTheedfR|FBB`H`jjZjBBUAj@	InChI=1S/C23H30ClNO4/c1-15(8-5-6-12-28-3)18-14-20(26)22(23(27)17(18)11-13-29-4)25-19-10-7-9-16(2)21(19)24/h5,7-10,14-15,25-27H,6,11-13H2,1-4H3/b8-5-/t15-/m0/s1	UTXHBDZWKAQOLW-KKTNHOPESA-N	
ffmaP@O@QDm\bfbfbTQrTrbmMTAAUSSDLH@	InChI=1S/C16H21NO5/c1-3-12-11(7-8-17-14(18)9-15(19)20)5-4-6-13(12)10(2)16(21)22/h4-6,10H,3,7-9H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/t10-/m0/s1	RMTJQSSYBVFUBN-JTQLQIEISA-N	
fbm@b@OYAHILrrks[lyHtTp@@TUSPREKT@@	InChI=1S/C17H17FO2/c18-15-9-14(11-5-1-2-6-11)17(16(20)10-19)13-8-4-3-7-12(13)15/h1,3-5,7-9,11,16,19-20H,2,6,10H2/t11-,16+/m1/s1	OYXBFQHPSNJYKD-BZNIZROVSA-N	
ekhXJ@@E@DJimlbfRbRfRRbbTRQQdtLlBRJZFVZh@bjjjifaZH\gbbQR@@	InChI=1S/C23H23NO5/c1-29-12-4-6-13-15(9-12)20-14-5-2-11(3-7-19(27)28)8-16(14)24-23(20)22-18(26)10-17(25)21(13)22/h2,4-6,8-9,15,17-18,22,24-26H,3,7,10H2,1H3,(H,27,28)/t15-,17+,18+,22+/m0/s1	ILQYHZIQPTXQDI-VXCZRNDOSA-N	
fakap@H`PqUV}rJZJKYJJIQHjBdEL\mA@TADMLD@@	InChI=1S/C16H11NO7/c18-12-5-8(1-2-9(12)16(22)23)24-13-4-7(15(20)21)3-11-10(13)6-14(19)17-11/h1-6,17-19H,(H,20,21)(H,22,23)	HFGCWISOIKLOMY-UHFFFAOYSA-N	
ej^TID@@jeGOBfnec`PHcPHrJJIQIIZSEJJ[JJZFIIcbPqDf@@BbVjYjY```@@@	InChI=1S/C24H21ClN2O9S/c1-13(28)36-21(30)10-8-14-7-9-15-17(11-14)18(25)12-19(29)22(15)37(33,34)27-24(32)26-23(31)16-5-3-4-6-20(16)35-2/h3-7,9,11-12,29H,8,10H2,1-2H3,(H2,26,27,31,32)	XOVKYZWSGBKZOJ-UHFFFAOYSA-N	
eolTL@@OK`DKLbfbbTTtTNVRbRdRDLt\RrZFn^Z@@`bZ`Hji@H@@	InChI=1S/C26H24N2O3/c1-26(2,3)23-16-10-11-27-18(16)12-15-13-19(28-24(15)23)22-20(31-4)9-8-14-6-5-7-17(21(14)22)25(29)30/h5-13,27-28H,1-4H3,(H,29,30)	ARXNKNVLNAIQFM-UHFFFAOYSA-N	
fleA`@@HLdvsJ{rleQRu@PM@@@HJP	InChI=1S/C16H14O3/c17-15-9-8-14(11-16(18)19)13(10-15)7-6-12-4-2-1-3-5-12/h1-10,17H,11H2,(H,18,19)	JHTPFWVTLQRBKJ-UHFFFAOYSA-N	
fi{Qb@HiEKPLQIe]mnYWuZL}GIX@IiiB@jb@@@	InChI=1S/C19H17BrN2O3/c1-2-3-4-14-9-10-15-16(11-21-17(15)22-14)19(24)25-18(23)12-5-7-13(20)8-6-12/h5-11H,2-4H2,1H3,(H,21,22)	GLANWNJYYMSIHP-UHFFFAOYSA-N	
fkoQr@LY``Sj{N@HrRPjJIIJI[HrYYSWcVVhIBhjjiia`U@@	InChI=1S/C19H24N2O7S/c1-3-19(24,7-6-18(22)23)11-14-4-5-17(28-14)21-29(25,26)16-9-13(12-20)8-15(10-16)27-2/h3-5,8-10,21,24H,1,6-7,11-12,20H2,2H3,(H,22,23)/t19-/m0/s1	NGSZBUXSXUCEKD-IBGZPJMESA-N	
eohRJH@M@jabOBim`HcHhhmdeEEEDXhcmLfNG@jfhHBjZijfjZa`@@	InChI=1S/C21H25ClN4O5/c1-3-4-17(28)23-10-16-24-20(30)14(8-6-12-5-7-13(22)15(27)9-12)26(16)18-11(2)19(29)25-21(18)31/h5,7,9,25,27,29-31H,3-4,6,8,10H2,1-2H3,(H,23,28)	RZBNJIWSOQTULV-UHFFFAOYSA-N	
fmgqr@FQWhu`y{L@QdbbTVVbrTJfRRaJBUPLDMTtuTt@@@	InChI=1S/C16H17N3O7S/c1-24-10-7-9-4-6-27-13(9)11(8-10)18-15(22)26-16(23)19-12(20)3-2-5-25-14(17)21/h4,6-8H,2-3,5H2,1H3,(H2,17,21)(H,18,22)(H,19,20,23)	SFJZEOKORXBNPY-UHFFFAOYSA-N	
foaJ@JllDoQkn|DQdTRTVrbbLrTrfTreNPAEMMMSSSS@HR`	InChI=1S/C20H20ClNO9/c1-10-5-13(21)8-16(25)15(10)7-12(11(2)23)6-14(24)3-4-17(26)22-20(30)31-19(29)9-18(27)28/h5,7-8,25H,3-4,6,9H2,1-2H3,(H,27,28)(H,22,26,30)	QJFQIMMJWYBMGG-UHFFFAOYSA-N	
fmg`p@F@QQluyELidhhhhmDmdYXLRmMUPLQQUMFAQrBhXP	InChI=1S/C20H25NO6/c1-11-3-4-14-16(5-11)13(7-19(24)25)6-15(12(2)10-22)17(14)9-21-18(23)8-20(26)27/h3-6,8,12-13,17,21-23H,7,9-10H2,1-2H3,(H,24,25)(H,26,27)/t12-,13-,17-/m0/s1	JYYNFTYLBWRERT-DCGLDWPTSA-N	
eohTAH@IAhDLAIekg`@cIIBhhhieDXeheCUCOHjfaejA`J@fFfi``@@	InChI=1S/C20H18N2O8S/c1-11-8-15(19(25)26)13-4-2-3-5-14(13)18(11)31(28,29)30-20(27)22-16-10-21-9-12(16)6-7-17(23)24/h2-5,8-10,21H,6-7H2,1H3,(H,22,27)(H,23,24)(H,25,26)	OIXWOCXUJDXRFF-UHFFFAOYSA-N	
elZXI@DH@DK@heo`XXIP{HihhdeEDhTXddhleEUGLbimfjYjjF@jjjfhGCARKiP\P	InChI=1S/C25H29NO9/c1-13-4-5-15-9-17-10-16(19(26(32)33)8-14(2)25(30)31)11-20(27)22(17)18(6-7-21(28)29)23(15)24(13)35-12-34-3/h4,8-9,11,19-20,24,27H,5-7,10,12H2,1-3H3,(H,28,29)(H,30,31)/t19-,20-,24+/m0/s1	VVFMVCNYBFIPGR-MZLICYQSSA-N	
fak@b@OQADYEDeDdeEdiiMZLT[Uij@@Bijf@ABj@	InChI=1S/C21H21ClO2/c1-5-6-17(23)15-11-13-10-14(22)9-12-7-8-16(21(2,3)4)19(18(12)13)20(15)24/h5-8,10-11,24H,9H2,1-4H3	WWVWXYQNSBWCKZ-UHFFFAOYSA-N	
fmoQb@@ixKpHcHhheDbdmLhddhfRMXmQk``X@IjZ@`@@@	InChI=1S/C21H15ClN2O3/c1-11-3-2-4-13-10-18(23-19(11)13)24-20(25)14-6-5-12-8-16(21(26)27)17(22)9-15(12)7-14/h2-10,23H,1H3,(H,24,25)(H,26,27)	AEBGBKRFLMEDAM-UHFFFAOYSA-N	
eghXF@@I`GDlaclbbtRTRRbbrJbbQ`dedW`VusTuTEAUPTDDFGBlUT@@	InChI=1S/C23H25NO6/c1-11(25)5-12-6-14-9-16(27)10-17-19(14)18(7-12)21(28)22(30-23(24)29)20(17)13-3-2-4-15(26)8-13/h2-4,6,8,14,16,23,26-29H,5,7,9-10,24H2,1H3/t14-,16-,23+/m0/s1	XBOKWELESHYYPS-LZDHAAFVSA-N	
fle`P@E@QJJS\rrwjz\EKUAP@A@Pp`@	InChI=1S/C14H13NO4/c16-12-7-6-10(13(17)15-12)11(14(18)19)8-9-4-2-1-3-5-9/h1-7,11H,8H2,(H,18,19)(H2,15,16,17)/t11-/m0/s1	OPKSERIEORPDDG-NSHDSACASA-N	
fik`p@L@PqS`iLo\rlo|j[wQmTpPTUP@@@@	InChI=1S/C18H19NO6/c1-11-14(20)10-13(17(22)19-18(23)24-2)16(15(11)21)25-9-8-12-6-4-3-5-7-12/h3-7,10,20-21H,8-9H2,1-2H3,(H,19,22,23)	PTTCYUKTAYYCRJ-UHFFFAOYSA-N	
eh\PA@@@DCO@jimlbfbbTVbTRaTRTLVlDT\RFNZ@`JAhijZjhFCj@@	InChI=1S/C25H26O8/c1-12(2)7-21(28)33-22(29)11-18-16(25(30)31)6-5-15-10-17-19(8-13(3)9-20(17)27)24(23(15)18)32-14(4)26/h5-6,9-10,12,20,27H,7-8,11H2,1-4H3,(H,30,31)/t20-/m0/s1	XJEXYGLOMZYLQV-FQEVSTJZSA-N	
fk`Q@IBrTxHatQdTRVTtTTTQbQTVUFIjM\@DuALC@DT@@@	InChI=1S/C22H17Cl2NO4/c1-3-13-8-17(26)9-15-10-19(22(28)29)20(11-18(13)15)25(12(2)23)21(27)14-4-6-16(24)7-5-14/h4-11,26H,2-3H2,1H3,(H,28,29)	YOLFLEMJNYLAPU-UHFFFAOYSA-N	
ff}a`@@`P[HhmEDbiheLeIQZmPDEMX@@BAh	InChI=1S/C18H15NO3/c1-12-10-15(8-9-17(12)22-13(2)20)18(21)16(11-19)14-6-4-3-5-7-14/h3-10,21H,1-2H3	BPADLMBLAADSJD-UHFFFAOYSA-N	
eo`TI@@OA`DBMDnekgdfyWVyeU~vvXxbrZfijejjfffVAQHBSd@	InChI=1S/C20H20N2O9/c1-30-22-14-5-2-11(9-17(24)21-18(25)10-19(26)27)8-13(14)15(23)6-3-12-4-7-16(31-12)20(28)29/h2-4,6-8,15,23H,5,9-10H2,1H3,(H,26,27)(H,28,29)(H,21,24,25)/t15-/m0/s1	ANWGUDUOKPZZKV-HNNXBMFYSA-N	
fcpP@EVZAACYEMDdeEMCEEEDlV\RUjy{ZfjjP@`JbPXBP@	InChI=1S/C21H19N3O4/c1-10-16-12(6-7-24-10)8-11-4-2-3-5-13(11)17(16)18(22)19-14(20(23)25)9-15(28-19)21(26)27/h2-3,6-9,18H,4-5,22H2,1H3,(H2,23,25)(H,26,27)/t18-/m1/s1	QLKGBJONKVKIGW-GOSISDBHSA-N	
fasap@O@PsQZmR[f^YgYuoQsujf`XB@Z@ab@@	InChI=1S/C16H13NO7/c18-5-4-8(19)6-10(16(23)24)14(21)11-7-17-15(22)13-9(11)2-1-3-12(13)20/h1-3,5,7,10,20H,4,6H2,(H,17,22)(H,23,24)/t10-/m1/s1	FSWQLHFWEKKQKA-SNVBAGLBSA-N	
fjcaB@@iADILrsKMoKERL{HXu@dTUSUCDaAQTm@@	InChI=1S/C18H18ClNO/c1-9-7-15(21)12-3-4-13-17(16(12)10(9)2)14(19)8-11-5-6-20-18(11)13/h3-8,10,14-15,18,20-21H,1-2H3/t10-,14-,15+,18+/m1/s1	ORPBDLGKHZHGKC-TVLOEYKUSA-N	
ehVPJ@@@DHjolbfbRfbTTRbQbVbJRxdLB|rJzFV^AZjjA@hBb``b`aCBLP@	InChI=1S/C28H26O5/c1-13-8-19-24-18-10-15(28(32)33)6-7-17(18)23(30)11-21(24)27(31)20-9-14-4-2-3-5-16(14)25(26(19)20)22(13)12-29/h2-5,8,15,18,29-31H,6-7,9-12H2,1H3,(H,32,33)/t15-,18-/m1/s1	RPGLWOOYGOJECY-CRAIPNDOSA-N	
eohPAD@BKO@hckg`Hc[prJJIJFIQP{JJIHjQbPqpZZBB@bFj@`ih@@@	InChI=1S/C21H20ClO8P/c1-29-20-15(22)7-6-13-10-16(23)19(24)18(17(13)20)21(25)30-11-14-5-3-2-4-12(14)8-9-31(26,27)28/h2-7,10,23-24H,8-9,11H2,1H3,(H2,26,27,28)	ONNXFKAPDXFWOB-UHFFFAOYSA-N	
fncap@H`PIVZmrJYJJJZEQQJsQoIZXH`@hi`ACD@	InChI=1S/C15H13NO7/c16-9-5-11(18)8(4-13(21)22)14-7(9)3-10(17)6(15(14)23)1-2-12(19)20/h1-3,5,17-18,23H,4,16H2,(H,19,20)(H,21,22)	OVWJXZSWGACARM-UHFFFAOYSA-N	
ffc``@M@QdTrTTRvbbTQUjJRuZhBB@@@@@@	InChI=1S/C19H17NO2/c1-13-12-20-18(11-15(13)9-10-19(21)22)17-8-4-6-14-5-2-3-7-16(14)17/h2-8,11-12H,9-10H2,1H3,(H,21,22)	CUMIFKDLKRKARR-UHFFFAOYSA-N	
fn}ar@LPQYNZm@DYIHULeDileDYKRu@DSUML@@@	InChI=1S/C14H17NO7S/c1-15-23(21,22)11-6-9(3-2-4-13(17)18)5-10(7-11)12(16)8-14(19)20/h5-7,15H,2-4,8H2,1H3,(H,17,18)(H,19,20)	JTGHSOSRVDHBIH-UHFFFAOYSA-N	
ebV\A@@FGO@BCKBhT\\bbbbTQTTJRbabrTVVgDfSQwsTsUKA@qA@qSP@PGH	InChI=1S/C25H21N3O8/c1-13-16(15(12-29)10-20(31)32)8-9-19(26-13)27-17-11-18(30)21(23(36-2)22(17)33)25(35)28-24(34)14-6-4-3-5-7-14/h3-11,29H,12H2,1-2H3,(H,26,27)(H,31,32)(H,28,34,35)	GHWPSDROGSBEIW-UHFFFAOYSA-N	
fegPp@NA@acoSrJZJJYJIQJprHbTXJ\mA@@E@EUP@@@	InChI=1S/C18H18N2O6/c1-18(2,6-7-21)9-5-3-4-8-10-11(14(22)19-13(8)9)15(23)20-16(24)12(10)17(25)26/h3-5,21H,6-7H2,1-2H3,(H,19,22)(H,25,26)(H2,20,23,24)	BDUXIWKNMPELFA-UHFFFAOYSA-N	
fikaJ@EPQ`cAUzL@QddattrTRTrRVg`yJmSSP@@EL@HBP	InChI=1S/C14H11NO9S/c16-11-5-8-3-9(2-1-7(8)4-10(11)13(18)19)15-6-12(17)14(20)24-25(21,22)23/h1-6,15-17H,(H,18,19)(H,21,22,23)	MKCCUEVSCCEWBS-UHFFFAOYSA-N	
figPb@NA|dDQdTTRbrfRbQfRcIJtxK^pPRUUU@ACBCIt@@	InChI=1S/C20H19ClN2O2/c1-11-5-4-6-12(9-11)10-15-16-17(20(25)23-19(16)24)18(22-15)13-7-2-3-8-14(13)21/h2-9,19-20,22-25H,10H2,1H3/t19-,20+/m1/s1	MYKWHSQOJIURSS-UXHICEINSA-N	
fns@R@FZlTDPdrljwJowSagYk@DDQDPQ@@@@	InChI=1S/C18H17ClO4/c1-20-13-7-5-6-11-15(13)18(23-4)16-12(17(11)22-3)8-10(19)9-14(16)21-2/h5-9H,1-4H3	PTQYKWBQEGCYHH-UHFFFAOYSA-N	
ehTXJH@EOHno`PHcHhheEhXeEEimEKdeFAIMH@@HjYjjjjfC@IERj@@	InChI=1S/C26H34ClNO5/c1-5-18-14-15-19-20(11-9-12-21(19)27)25(18)28(22(30)6-2)26(33)24(17(4)29)16(3)10-7-8-13-23(31)32/h9,11-12,14-17,24,29H,5-8,10,13H2,1-4H3,(H,31,32)/t16-,17+,24+/m1/s1	VSVYJPCMNHFNCX-KCYKTTMJSA-N	
fle``@L@QdTRRbTRTQQgARuTDA@P@@@	InChI=1S/C16H19NO2/c1-3-4-11-19-16(18)17-15-10-9-12(2)13-7-5-6-8-14(13)15/h5-10H,3-4,11H2,1-2H3,(H,17,18)	RLNIGJNRDLUYPY-UHFFFAOYSA-N	
facAR@IFcWhHcHhdhULhdeBeMQd@ESUTsLdMQDiJ@	InChI=1S/C18H19ClO5/c1-2-24-18(10-15(21)6-7-16(22)12-20)11-17(23)9-13-4-3-5-14(19)8-13/h3-8,11-12,18,23H,2,9-10H2,1H3/t18-/m0/s1	CJDKCYDRMNBHDG-SFHVURJKSA-N	
fco@r@M^CdoPQFQQISQJJJIJVVIJgGIgn@HBbFa```@DJH	InChI=1S/C21H15ClO6/c1-27-16-6-2-3-7-17(16)28-18-8-4-5-14(21(25)26)19(18)15-11-12(22)9-10-13(15)20(23)24/h2-11H,1H3,(H,23,24)(H,25,26)	VSXRWPLXVBTLJL-UHFFFAOYSA-N	
e`TPI@@@DFFnaigolbfbbtRTTTrRfbzR`debURsPPAAADCLUL@@@@	InChI=1S/C23H18O9/c24-17(25)8-3-11-1-4-12(5-2-11)15-10-16(23(31)32)21(28)19-13(9-18(26)27)6-7-14(20(15)19)22(29)30/h1-2,4-7,10,28H,3,8-9H2,(H,24,25)(H,26,27)(H,29,30)(H,31,32)	DYOSVMKBIJFPRQ-UHFFFAOYSA-N	
elZXN@@L@DFGGod\bbRbaRfTrbbrTVRbNtL\|nAZi`@ijjjBAbRD@iD`@	InChI=1S/C27H29NO7/c1-4-20(10-13-24(31)33-16-29)26-25(17(2)14-19-8-6-5-7-9-19)22-15-21(11-12-23(22)35-26)28-27(32)34-18(3)30/h5-9,11-12,15-17,20H,4,10,13-14H2,1-3H3,(H,28,32)/t17-,20+/m1/s1	SDGOLSXMMXXYHK-XLIONFOSSA-N	
ffm@q@BZLDmPQ@iCHhhiheCdhlhrTDEDuKTpBCd	InChI=1S/C14H12ClFO6/c1-2-10(19)22-14(21)11-7(4-3-5-9(17)18)6-8(16)13(20)12(11)15/h3,5-6,20H,2,4H2,1H3,(H,17,18)	AJTLDHBYZLRMDV-UHFFFAOYSA-N	
fbmAb@GQRBPrJJIQIQZXkLEKUgUADIMSTTHP@	InChI=1S/C16H15FO3/c1-19-6-5-10-3-2-4-11-14(17)7-12-13(16(10)11)9-20-15(12)8-18/h2-4,8-9,14H,5-7H2,1H3/t14-/m1/s1	XRGCUTKUVIPCFU-CQSZACIVSA-N	
fa{Q`DM^@{NiRfU}VYgg\TxKtZ}hDBijB`bH@@	InChI=1S/C19H18N2O3/c1-22-17-5-3-4-15-18(17)21(19(20-15)23-2)10-8-13-6-7-16-14(12-13)9-11-24-16/h3-7,9,11-12H,8,10H2,1-2H3/p+1	UMXAUBFFQPZJNJ-UHFFFAOYSA-O	
ff}Pb@DyLxDadTTTRTTTVZdeyQj`dFjJzbaA@@	InChI=1S/C17H19FN2O2/c1-10-15(13(9-22-10)7-17(2,3)20)16(18)12-4-11(8-19)5-14(21)6-12/h4-6,9,16,21H,7,20H2,1-3H3/t16-/m1/s1	HEJRPYTUAZHJLH-MRXNPFEDSA-N	
facpq@AV}IVleZBHXDYEDeDiDyheieJ\`BIZjZZX`ZP}@	InChI=1S/C13H16ClN3O6S/c1-6(18)23-11(19)5-9(17-2)13(16)12-8(15)3-7(14)4-10(12)24(20,21)22/h3-5,13,17H,15-16H2,1-2H3,(H,20,21,22)/t13-/m0/s1	DIEGMPRALVOJGU-ZDUSSCGKSA-N	
fbe`S@ALlgHH`d`ZPrJJJZKKPiJ\eADQTuS@@@	InChI=1S/C12H12ClF2NO4/c1-20-7-5-6(14)12(11(15)10(7)13)16-8(17)3-2-4-9(18)19/h5H,2-4H2,1H3,(H,16,17)(H,18,19)	XEDUCHOPZPRZTI-UHFFFAOYSA-N	
fkap@I@PHvRkrJIJJIFKIIIZIJ[U`qgmj`XH@JX@b@@@	InChI=1S/C21H17NO7/c1-27-14-3-2-4-15(7-14)28-19-9-17-12(5-13(19)11-23)6-16(8-18(17)24)29-21(26)10-20(22)25/h2-9,11,24H,10H2,1H3,(H2,22,25)	SBOHTJQZSRRJFE-UHFFFAOYSA-N	
fkwAR@HHMYh@cIICEHeXhXhhkDTdeVfji`Hbjj`DBH	InChI=1S/C23H36O5S/c1-8-9-12-28-15-21-19(16(2)3)11-10-17(4)20(21)13-18(14-22(24)25)29(26,27)23(5,6)7/h10-11,14,16H,8-9,12-13,15H2,1-7H3,(H,24,25)	MJOFFLKHDGZNLO-UHFFFAOYSA-N	
fkwPh@Ds@bs`ekwY|bbTtReTrfffTttdij@`iijZZfDQPt@	InChI=1S/C17H18N2O10/c1-7-8(4-3-5-9(7)14(23)27-2)6-10(20)28-16(25)12(19)17(26)29-15(24)11(18)13(21)22/h3-5,11-12H,6,18-19H2,1-2H3,(H,21,22)/t11-,12+/m1/s1	ICMYSOMITSNCFL-NEPJUHHUSA-N	
fe{Pp@NQ@`u^sR[ggf^U]{]yIViZ``JjihPPh`	InChI=1S/C18H20N2O6/c1-9(18(25)26)5-10(2)19-15-7-13-12(11(3-4-21)17(15)24)6-14(20-13)16(23)8-22/h5-7,19-22,24H,1,3-4,8H2,2H3,(H,25,26)	QYJSYGGCNUIDDW-UHFFFAOYSA-N	
fjcaB@HjADYEEDeCELhllseg^cdlAATsA@EDJH@	InChI=1S/C18H14ClNO/c19-13-7-3-1-5-11(13)18-16(21)10-9-15-17(18)12-6-2-4-8-14(12)20-15/h1-8,10,18,20-21H,9H2/t18-/m1/s1	WQFABOMWUCZCRF-GOSISDBHSA-N	
fe{`P@F`Pd^QQYQQQQYEKIIQUgAZh@HAJfi`@ase@	InChI=1S/C21H23NO4/c1-15(23)22-12-6-4-3-5-7-17-8-9-18-13-19(25)10-11-20(18)21(17)14-26-16(2)24/h4-11,13,25H,3,12,14H2,1-2H3,(H,22,23)	CRSKLJNWCGATRY-UHFFFAOYSA-N	
elVTF@@GdPDDec`\bfRbbRabbbbVJRvRfTtBjJFzfZhBB`BB@JjfbBBR@@	InChI=1S/C27H28N2O6/c28-14-24(33)29-8-7-15-9-18-11-17-12-21(30)22(31)13-20(17)27(26(18)23(32)10-15)19-4-2-1-3-16(19)5-6-25(34)35/h1-4,9-10,12-13,27,30-32H,5-8,11,14,28H2,(H,29,33)(H,34,35)/t27-/m1/s1	BLJLMHJDVDJHCX-HHHXNRCGSA-N	
fik`R@KZ\dhHcHhheDeDeCddUFBdZhDbbjjjjLP`hi@@	InChI=1S/C19H28ClNO4/c1-4-12(9-25-8-11(2)3)14-7-16(20)15-5-13(23)6-17(24)18(15)19(14)21-10-22/h5-7,11-12,16,19,21-24H,4,8-10H2,1-3H3/t12-,16+,19-/m0/s1	VQIIOIIUQNYSBV-MOFZMDFASA-N	
edVTJ@@AG@FJg`\dTRbbffTTVTTuVRfdadPvQWRwtMAQEE@uPTBQAHPTP@	InChI=1S/C27H26N2O5/c1-3-4-14-5-6-16-22-17(19(30)7-8-20(22)31)11-21(32)23(16)18(14)12-34-27-24(28)25-15(9-10-29-25)13(2)26(27)33/h3,5,7-11,18,29-33H,1,4,6,12,28H2,2H3/t18-/m1/s1	GUSWXNNRVRUOCP-GOSISDBHSA-N	
fjmaP@B@PrN\bfbTvbbTTNYqwfff`HIe`@@	InChI=1S/C15H11NO5/c1-3-11(18)12-9(7-17)5-4-6-10(12)14-8(2)13(15(19)20)16-21-14/h3-7H,1H2,2H3,(H,19,20)	SEPDQIULQMEGDL-UHFFFAOYSA-N	
fj}PP@G^@cI\bfbbTTRVQtEKWgQZ@@BhfXH@@	InChI=1S/C15H12N2O4/c18-12(19)2-1-9-6-16-7-11-13(9)10(15(20)21)5-8-3-4-17-14(8)11/h3-7,17H,1-2H2,(H,18,19)(H,20,21)	APFLLLXATYUCBJ-UHFFFAOYSA-N	
eo`XJH@Je@bfi`@cIEMDmihhhhhUmHiNAHdj@`f@hIjjj`@@@	InChI=1S/C24H31NO5S/c1-13-8-9-14(10-18(13)31-7)21(28)20-17(27)11-16(26)15(12-24(5,6)30)19(20)22(29)25-23(2,3)4/h8-11,26-27,30H,12H2,1-7H3,(H,25,29)	PALJBSJEZRCABI-UHFFFAOYSA-N	
fkqQ@IVRzIQkAD\bLbbbTTQReTrfbbfXHumg`HbZfffBHA@@@	InChI=1S/C19H13Cl2N3O5/c20-10-4-9(5-11(21)17(10)12-7-22-8-23-12)15(27)6-16(28)24-19(29)18-13(25)2-1-3-14(18)26/h1-5,7-8,25-26H,6H2,(H,22,23)(H,24,28,29)	JSJMAVJKCQTPJC-UHFFFAOYSA-N	
fnsHR@LD\uPXu@DYHhideDmMDjibdcIsSA@qRuSP`@@	InChI=1S/C14H10N4O4S/c15-11(19)7-3-9(16-5-7)12(20)18-14-17-8-2-1-6(13(21)22)4-10(8)23-14/h1-5,16H,(H2,15,19)(H,21,22)(H,17,18,20)	XILMOMMSTPOJOX-UHFFFAOYSA-N	
fjm@p@@HuyI\bfRbbTTRRSTztVjhFBhjaEHy@@	InChI=1S/C15H18O6/c1-21-12-4-3-10(17)15-9(7-16)11(18)6-8(14(12)15)2-5-13(19)20/h3-4,6,8-9,16-18H,2,5,7H2,1H3,(H,19,20)/t8-,9-/m1/s1	YNXQMIGZSTZVAS-RKDXNWHRSA-N	
egdXL@@I@DAlbfbbTQVbbTVbRLPbdfbQUSVusPDPuPIAPDE@aYBh@@	InChI=1S/C26H23NO3/c1-13-5-4-6-16-15(3)24-20(11-19(13)16)17(9-10-23(24)28)22-12-21-18(26(29)30)8-7-14(2)25(21)27-22/h4-12,17,23,27-28H,1-3H3,(H,29,30)/t17-,23+/m1/s1	VDIVCVXXHDWHQO-HXOBKFHXSA-N	
elRPE@@@EHdjiemcglbbbRRTVbTRUtTTqfRXxBrZYjPbFJjYijh`ZP@	InChI=1S/C25H26O10/c1-2-3-4-23(31)35-25(34)19(24(32)33)8-6-14-5-7-18(26)10-15(14)9-16-11-21(28)17(12-20(16)27)13-22(29)30/h5,7,10-12,19,26H,2-4,6,8-9,13H2,1H3,(H,29,30)(H,32,33)/t19-/m0/s1	HJQYGPQZJQRVHR-IBGZPJMESA-N	
